latitude,longitude,year,month,day,cp,e,ilspf,lsp,pev,tcrw,tp,swvl1,swvl2,ro
17.75,77.25,2019,5,30,0.0,-0.000114268,0.0,0.0,-0.0010292445,0.0,0.0,0.20665509,0.21992731,0.0
17.0,77.25,2018,10,23,9.574461999999999e-06,-0.00043658988,0.0,0.0,-0.0007129168400000001,0.0019598007,9.5046125e-06,0.33402909999999997,0.33246982,4.8754737e-07
17.25,77.0,2019,11,25,0.0,-0.00036099742,0.0,0.0,-0.0006586477000000001,0.0,0.0,0.27948436,0.32752207,3.0468217999999997e-06
17.0,77.25,2018,10,2,4.0037557e-05,-0.00045825244000000006,0.0,1.9452535e-05,-0.00064247317,0.0020629168,6.0051214e-05,0.38542962,0.34013972,4.8754737e-07
17.75,78.0,2018,11,3,1.7406419e-06,-0.00017283918,0.0,4.1397288e-07,-0.00034110004,0.0,1.9441359e-06,0.23801677,0.26571307,1.9501895e-06
17.25,77.25,2018,5,4,1.1459924e-05,-0.00032720456000000003,0.0,0.0,-0.00091299275,0.0,1.1448282999999999e-05,0.25099507,0.30009034,4.8754737e-07
17.25,77.75,2018,3,11,0.0,-0.00032218418,0.0,0.0,-0.0008028998,0.00013756752000000002,0.0,0.23309353,0.3098106,3.2908283e-06
18.0,77.75,2018,9,28,4.409952e-05,-0.00044156400000000003,0.0,1.8626451e-06,-0.0006524297,0.0,4.5794062000000005e-05,0.3910262,0.37053308,2.4377368e-06
17.75,77.5,2018,6,21,4.1923486e-05,-0.00028823415,0.0,3.3108518e-06,-0.0005412152400000001,0.00013756752000000002,4.5794062000000005e-05,0.32181674,0.31100228,9.750947e-07
17.5,77.0,2019,5,9,0.0,-0.00014393729,0.0,0.0,-0.0010487838,0.0,0.0,0.14552544,0.16718435,0.0
17.75,77.5,2018,4,2,0.0,-0.00019892116000000003,0.0,0.0,-0.0009487655499999999,0.011002302,0.0,0.2008238,0.24648282,1.4626421000000002e-06
17.5,77.0,2019,4,25,0.0,-0.00018643029,0.0,0.0,-0.0010309564,0.0,0.0,0.14865729,0.17352822,0.0
17.0,77.5,2019,6,26,0.0013274785999999998,-0.00022825762000000004,0.0,1.8626451e-06,-0.00029212396,0.0,0.0013293329999999998,0.47688937,0.4414081,1.5479513e-05
17.75,77.0,2019,2,13,0.0,-0.00021044124,0.0,0.0,-0.0007311575,0.0,0.0,0.20847118,0.25242950000000003,2.4354085000000004e-07
17.25,77.75,2019,5,1,0.0,-0.00031942897,0.0,0.0,-0.0011397899,0.0,0.0,0.24702929999999998,0.29862997,0.0
18.0,77.0,2019,5,27,2.9010698e-07,-6.212252e-05,0.0,0.0,-0.0009794814,0.0,0.0,0.24563944,0.26831838,0.0
18.0,77.75,2018,1,24,0.0,-0.00027382944,0.0,0.0,-0.00068897,0.0,0.0,0.26704964,0.31685546,3.7783757000000005e-06
17.75,77.5,2019,4,10,0.0,-0.0002483207,0.0,0.0,-0.0009504184,0.0,0.0,0.21646449,0.22852018,4.8754737e-07
17.75,77.0,2018,11,3,2.3208558999999998e-06,-0.00018542251,0.0,0.0,-0.00043676968,0.00636065,2.375804e-06,0.23196309999999998,0.25779197,4.8754737e-07
18.0,77.25,2018,5,2,0.0,-0.00026544363999999996,0.0,0.0,-0.0010009883,0.0,0.0,0.24972875,0.28919008,4.8754737e-07
17.25,77.0,2019,2,19,0.0,-0.0002104135,0.0,0.0,-0.0006827717,0.0,0.0,0.24370597,0.30448315,0.0
17.0,77.25,2019,2,2,0.0,-0.00023070772000000002,0.0,0.0,-0.00058255665,0.0,0.0,0.29677436,0.30431959999999997,2.4354085000000004e-07
18.0,77.0,2019,9,28,5.947426e-06,-0.00044614062000000005,0.0,4.1397288e-07,-0.0005213611299999999,0.0,6.2640756e-06,0.47361544,0.48545889999999997,1.3407320000000003e-05
18.0,77.5,2018,9,29,5.7445373e-05,-0.0004965109400000001,0.0,0.0,-0.00069656526,0.00024068355999999998,5.767494399999999e-05,0.39759254,0.37574956,1.4626421000000002e-06
17.0,77.5,2018,6,19,0.00016261637,-0.00038336263999999993,0.16635895,7.201685e-05,-0.00050705596,0.0014784336,0.00023502017999999997,0.42008996,0.38858333,2.4377368e-06
17.5,78.0,2019,2,2,0.0,-0.00026331714,0.0,0.0,-0.000642729,0.0,0.0,0.26775384,0.25805485,4.8754737e-07
17.25,77.75,2018,6,28,6.527873e-05,-0.00028086538,0.14423269,2.7109868999999998e-05,-0.00041473145,0.0,9.2884526e-05,0.42196164,0.38140413,1.4626421000000002e-06
17.75,77.75,2018,9,26,4.5840163e-05,-0.0004257355,0.10001069,2.1935906e-05,-0.00051272294,0.0007220506699999999,6.761122500000001e-05,0.4181009,0.38799918,2.4377368e-06
17.25,77.0,2019,1,25,5.2948482e-05,-0.0002315768,0.0,0.0,-0.0005990657,0.0007220506699999999,5.292286999999999e-05,0.26056975,0.32500437,2.4354085000000004e-07
17.75,77.75,2018,12,19,0.0,-0.00026174536,0.0,0.0,-0.0005098501,0.0,0.0,0.30060422,0.28375164,9.750947e-07
17.75,77.75,2018,10,6,0.0,-0.00047276809999999996,0.0,0.0,-0.0007058134700000001,0.00013756752000000002,0.0,0.30848017,0.32147026,1.9501895e-06
17.75,77.25,2018,4,12,1.7697923e-05,-0.0003813656,0.0,0.0,-0.0008774167,0.0,1.7712824e-05,0.2922897,0.2519271,1.4626421000000002e-06
18.0,78.0,2018,7,6,7.3692296e-05,-0.0003292571,0.10001069,1.0554213e-05,-0.0005534347,0.035413742000000005,8.402811e-05,0.43995583,0.3834837,1.4626421000000002e-06
18.0,77.0,2019,9,26,8.268654e-05,-0.0004611648,0.87563515,4.2009633e-05,-0.0004960762,0.008045435,0.00012442237,0.50017744,0.5084219,1.1701137000000002e-05
17.25,77.75,2019,3,27,0.0,-0.00030368363,0.0,0.0,-0.0009376677,0.0,0.0,0.23170984,0.30732209999999993,0.0
17.0,78.0,2018,10,28,0.0,-0.00044626080000000003,0.0,0.0,-0.0008149815,0.0,0.0,0.18980984,0.22958334,4.8754737e-07
17.5,77.5,2019,2,12,0.0,-0.00016755068,0.0,0.0,-0.0006696864999999999,0.0,0.0,0.15130731,0.18098783,2.4354085000000004e-07
17.75,78.0,2019,2,9,0.0,-0.0002871709,0.0,0.0,-0.00070575444,0.0,0.0,0.23742993,0.26448634,7.310881999999999e-07
18.0,77.5,2019,12,22,0.0,-0.00023140115000000003,0.0,0.0,-0.000551526,0.0,0.0,0.28579748,0.3125094,1.0969583e-05
17.75,77.25,2018,12,21,1.1604279e-06,-0.00025009585,0.0,0.0,-0.00050672144,0.0,1.5120022e-06,0.26761794,0.2765023,7.310881999999999e-07
17.0,78.0,2019,5,14,0.0,-0.0003083157,0.0,0.0,-0.0010407162,0.0,0.0,0.13624728,0.15657033,0.0
17.75,77.75,2019,12,12,2.9010698e-07,-0.00032931258,0.0,0.0,-0.000571144,0.0,0.0,0.263646,0.2999443,9.506941000000001e-06
18.0,77.0,2019,6,7,2.5531277e-05,-0.00025470942000000005,0.0,0.0,-0.0009628936,0.0007220506699999999,2.4841167000000002e-05,0.29973325,0.2856151,0.0
